Datetime,Close,Ensemble_Signal,CB_Signal,Equity_Ensemble,Equity_CB,Equity_BH,Weight_CB,Weight_KAN,Weight_Mamba,Ensemble_PnL,CB_PnL
2026-02-26 09:09:00,77672,-1,0,0.09325908379727334,0.041359641106818584,0.10723980229307342,0.20472373,0.19325955,0.6020167,-0.002725708185530907,0.0
2026-02-26 09:10:00,77646,-1,0,0.09055815226374929,0.041359641106818584,0.10994073382659747,0.23647615,0.18865389,0.57487,-0.0027009315335240485,0.0
2026-02-26 09:11:00,77631,0,0,0.09045815226374929,0.041359641106818584,0.11239806943430845,0.2298388,0.18615109,0.5840101,-0.0001,0.0
2026-02-26 09:39:00,77769,0,0,0.09045815226374929,0.041359641106818584,0.11073793353963635,0.1977338,0.1909781,0.61128813,-0.0,-0.0
2026-02-26 09:40:00,77764,-1,0,0.0922116254813824,0.041359641106818584,0.10888446032200323,0.19619045,0.19124906,0.6125605,0.0017534732176331138,-0.0
2026-02-26 09:41:00,77749,0,0,0.0921116254813824,0.041359641106818584,0.107558806149295,0.20128234,0.19220738,0.6065103,-0.0001,-0.0
2026-02-26 09:52:00,77667,-1,0,0.0946029517946203,0.041359641106818584,0.10496747983605709,0.18852212,0.19056158,0.62091625,0.0024913263132379138,-0.0
2026-02-26 09:53:00,77659,-1,0,0.09620095205735278,0.041359641106818584,0.10336947957332461,0.18992321,0.20217037,0.6079064,0.0015980002627324808,-0.0
2026-02-26 09:54:00,77643,-1,0,0.09810893133899985,0.041359641106818584,0.10146150029167754,0.18112774,0.18891835,0.629954,0.0019079792816470694,-0.0
2026-02-26 09:55:00,77710,-1,0,0.1016152643716185,0.041359641106818584,0.0979551672590589,0.19147278,0.18286327,0.62566394,0.003506333032618647,-0.0
2026-02-26 09:56:00,77738,1,0,0.09736787611102313,0.041359641106818584,0.09390777899846353,0.19812484,0.18604451,0.6158306,-0.004247388260595368,-0.0
2026-02-26 09:57:00,77733,0,0,0.09726787611102312,0.041359641106818584,0.09055738992573949,0.20290408,0.18728974,0.6098062,-0.0001,-0.0
2026-02-26 09:58:00,77737,-1,0,0.10037612495723759,0.041359641106818584,0.08734914107952503,0.2030531,0.18183015,0.6151168,0.0031082488462144614,-0.0
2026-02-26 09:59:00,77694,0,0,0.10027612495723759,0.041359641106818584,0.08402289550647003,0.1888569,0.18874736,0.62239575,-0.0001,-0.0
2026-02-26 10:00:00,77605,0,0,0.10027612495723759,0.041359641106818584,0.08095137049404315,0.20511757,0.18238406,0.61249834,-0.0,-0.0
